request_rate_per_min,time_of_access,kyber_key_gen_time,kyber_encaps_time,kyber_decaps_time,kyber_layer_execution_skew,kyber_time_diff,mceliece_key_gen_time,mceliece_encaps_time,mceliece_decaps_time,mceliece_decaps_success,falcon_key_gen_time,falcon_sign_time,falcon_verify_time,falcon_signature_valid,ntru_key_gen_time,ntru_encaps_time,ntru_decaps_time,ntru_decaps_success,dilithium_key_gen_time,dilithium_sign_time,dilithium_verify_time,dilithium_triggered,kyber_cipher_size,ntru_output_size,mceliece_key_size_kb,crypto_total_time,total_encap_time,total_decap_time,success_rate,is_anomaly,triggered_escape_mechanism
14,15:30:10,13.5,8.3,7.3,6.2,1,60.3,13.1,15.6,TRUE,19.7,25.9,10.6,TRUE,18.7,9.5,7.8,TRUE,25.5,25.5,14.9,FALSE,1184,1024,1390,276.2,30.9,30.7,1,FALSE,FALSE
13,15:30:11,13.8,8.8,9.9,3.9,-1.1,58.4,16.7,14,TRUE,18.3,22.7,10.2,TRUE,13.4,8.9,9.3,TRUE,26.4,27.2,18.4,FALSE,1184,1024,1390,276.4,34.4,33.2,1,FALSE,FALSE
21,15:30:12,14.3,7.1,6.9,7.4,0.2,49.4,14.1,15.7,TRUE,20.4,24.3,13.4,TRUE,15.9,8.9,8.2,TRUE,22.6,24.3,13.3,FALSE,1184,1024,1390,258.8,30.1,30.8,1,FALSE,FALSE
37,15:30:13,13.8,7.1,8.2,5.6,-1.1,50.1,13.1,15,FALSE,19.2,21.6,12.7,TRUE,16.1,10.1,10.1,TRUE,23.5,29.5,20.7,TRUE,1184,1024,1390,270.8,30.3,33.3,0.7,FALSE,FALSE
39,15:30:14,14.1,9.1,9,5.1,0.1,57.4,19.6,10.3,TRUE,21,24.1,13.5,TRUE,13.5,8.8,8.5,TRUE,24.1,23.2,12.1,FALSE,1184,1024,1390,268.3,37.5,27.8,1,FALSE,FALSE
74,15:30:15,15.2,8.1,6.9,8.3,1.2,67.7,16.3,9.9,TRUE,16.9,27,10.5,TRUE,15.4,9,8.3,TRUE,22.6,26,14.7,FALSE,1184,1024,1390,274.5,33.4,25.1,1,TRUE,FALSE
13,15:30:16,11.4,7.9,8.5,2.9,-0.6,59,12.5,15.8,FALSE,21.6,21.4,11.3,TRUE,14.1,8.3,10.8,TRUE,28.4,31.1,10,TRUE,1184,1024,1390,272.1,28.7,35.1,0.7,FALSE,FALSE
35,15:30:17,12,9.3,7.3,4.7,2,55.7,12.5,17.3,TRUE,20.3,27.3,10.1,TRUE,14.9,5.8,8,FALSE,17.7,26.7,13.3,TRUE,1184,1024,1390,258.2,27.6,32.6,0.7,FALSE,FALSE
79,15:30:18,15.9,6.6,9.2,6.7,-2.6,55.1,15.2,15.3,TRUE,19,22.1,12.9,TRUE,15.4,8.4,9.1,TRUE,26.8,24.3,17.3,FALSE,1184,1024,1390,272.6,30.2,33.6,1,TRUE,FALSE
63,15:30:19,9.1,7.8,8.6,0.5,-0.8,58.8,13.6,15.8,TRUE,19.8,23.1,11.6,TRUE,14,8.4,9.8,TRUE,22.9,30.4,14.3,FALSE,1184,1024,1390,268,29.8,34.2,1,TRUE,FALSE
38,15:30:20,11.3,7.4,8.7,2.6,-1.3,56,14.6,16.2,TRUE,20.8,24.9,12.2,TRUE,17.6,8.4,9.5,FALSE,24.5,30.4,15.6,TRUE,1184,1024,1390,278.1,30.4,34.4,0.7,FALSE,FALSE
67,15:30:21,13,8.7,7.7,5.3,1,52,12.6,16.3,FALSE,20,24.6,12.2,TRUE,16.2,8.2,11.1,FALSE,24.4,29.9,14.3,TRUE,1184,1024,1390,271.2,29.5,35.1,0.3,TRUE,TRUE
45,15:30:22,13,7.1,8.1,4.9,-1,54.2,13.4,14.5,TRUE,17,27.9,11.7,TRUE,13.3,8.7,9.4,TRUE,22.7,26.5,12.1,FALSE,1184,1024,1390,259.6,29.2,32,1,FALSE,FALSE
10,15:30:23,13.5,6.6,6.6,6.9,0,56.9,13,14,TRUE,16.8,24.4,12.6,TRUE,18,9.9,8.8,TRUE,21.1,29,11.3,FALSE,1184,1024,1390,262.5,29.5,29.4,1,FALSE,FALSE
30,15:30:24,14,9.5,7.9,6.1,1.6,53.1,15,15,TRUE,20.2,27.1,11.2,TRUE,15.4,9,9.1,TRUE,26.4,30.9,17.3,FALSE,1184,1024,1390,281.1,33.5,32,1,FALSE,FALSE
64,15:30:25,11.5,8.9,8.2,3.3,0.7,53.2,15.3,14.7,TRUE,25.6,22.6,10.3,TRUE,13.8,6.9,8.5,TRUE,27.6,30.9,11.8,FALSE,1184,1024,1390,269.8,31.1,31.4,1,TRUE,FALSE
53,15:30:26,11.2,8.5,6.7,4.5,1.8,63.2,11.8,12.8,TRUE,24.5,28.5,11.1,TRUE,11.6,10.4,8.9,TRUE,22,28.1,12.1,FALSE,1184,1024,1390,271.4,30.7,28.4,1,FALSE,FALSE
45,15:30:27,14.2,6.9,7.9,6.3,-1,58.7,13.5,17.1,FALSE,19.4,26.5,13.4,TRUE,12.8,7.5,10.3,FALSE,22.3,31.5,13.1,TRUE,1184,1024,1390,275.1,27.9,35.3,0.3,TRUE,TRUE
29,15:30:28,17.1,9.8,7.8,9.3,2,48.2,12.6,9.9,FALSE,21.9,26.9,14.7,TRUE,13.1,9.7,10.1,TRUE,21.2,30.2,16,TRUE,1184,1024,1390,269.2,32.1,27.8,0.7,FALSE,FALSE
37,15:30:29,13.1,9.6,6.6,6.5,3,50.5,16.3,14.7,TRUE,13.9,24.8,12.8,TRUE,14.9,6.9,8.9,TRUE,19.2,26.5,10.9,FALSE,1184,1024,1390,249.6,32.8,30.2,1,FALSE,FALSE
53,15:30:30,12.9,9,7,5.9,2,51,18.9,14.1,TRUE,20.5,23.4,10.4,TRUE,14.8,8,8.4,TRUE,19.9,28.6,12.8,FALSE,1184,1024,1390,259.7,35.9,29.5,1,FALSE,FALSE
23,15:30:31,12.6,8.6,8.8,3.8,-0.2,65.2,14.5,15.2,FALSE,17.4,23.3,11.4,TRUE,10.4,7.5,10.4,TRUE,22.9,37.2,15.2,TRUE,1184,1024,1390,280.6,30.6,34.4,0.7,FALSE,FALSE
21,15:30:32,12.7,7,6.4,6.3,0.6,61.4,15,17,FALSE,19.6,22.7,9.2,TRUE,13.7,7.9,10.7,FALSE,22.2,25.4,16,TRUE,1184,1024,1390,266.9,29.9,34.1,0.3,TRUE,TRUE
58,15:30:33,14.1,7,7.8,6.3,-0.8,53.7,14,12.8,TRUE,16.4,20.9,13.9,TRUE,18.8,7.6,9.6,TRUE,19.4,28.1,11.3,FALSE,1184,1024,1390,255.4,28.6,30.2,1,FALSE,FALSE
22,15:30:34,13.5,7.9,7.8,5.7,0.1,60.8,11.7,15.1,TRUE,16.3,23.3,13.5,TRUE,16,8,9.1,TRUE,20,29.7,11.5,FALSE,1184,1024,1390,264.2,27.6,32,1,FALSE,FALSE
55,15:30:35,9.4,6.4,8,1.4,-1.6,53.7,15.1,12.3,TRUE,19.8,22.3,13.3,TRUE,11.7,8.9,7.8,TRUE,20.8,31,11.8,FALSE,1184,1024,1390,252.3,30.4,28.1,1,FALSE,FALSE
54,15:30:36,14.7,6.9,8.5,6.2,-1.6,54,15.2,13.7,TRUE,23.3,17.6,10.4,TRUE,16.2,8.8,9.4,TRUE,25.5,28.8,13.7,FALSE,1184,1024,1390,266.7,30.9,31.6,1,FALSE,FALSE
43,15:30:37,12.2,7.5,7.6,4.6,-0.1,63,14.2,9.9,TRUE,20.2,23.7,12.6,TRUE,19.2,9.9,8.7,TRUE,19,22.4,12.3,FALSE,1184,1024,1390,262.4,31.6,26.2,1,FALSE,FALSE
15,15:30:38,13,9.7,8.3,4.7,1.4,62.7,15.7,13.2,TRUE,18.3,27.5,7.6,TRUE,15.5,9.8,7.5,TRUE,23.9,34.8,13.4,FALSE,1184,1024,1390,280.9,35.2,29,1,FALSE,FALSE
68,15:30:39,13.5,7.5,7.2,6.3,0.3,62.2,14,13.5,TRUE,21.5,22.4,12.1,TRUE,14,9.5,9.3,TRUE,19.1,26.7,13.8,FALSE,1184,1024,1390,266.3,31,30,1,TRUE,FALSE
78,15:30:40,14.5,7.1,8.9,5.6,-1.8,64.5,16.3,13.9,TRUE,23.1,26.2,15.8,FALSE,13.5,7.8,7.2,TRUE,22.8,24.6,17.9,TRUE,1184,1024,1390,284.1,31.2,30,0.7,TRUE,TRUE
25,15:30:41,13.3,8.1,8.7,4.6,-0.6,65,14,12,FALSE,20.4,25.7,10.4,TRUE,15.9,10.9,10.3,TRUE,21.6,28.2,15.2,TRUE,1184,1024,1390,279.7,33,31,0.7,FALSE,FALSE
58,15:30:42,9.6,9.5,7.8,1.8,1.7,50.5,14.3,17.3,TRUE,17.7,22,8.7,TRUE,16.6,9.1,7.7,FALSE,21.2,23.5,12.5,TRUE,1184,1024,1390,248,32.9,32.8,0.7,FALSE,FALSE
20,15:30:43,12.5,5.3,7.9,4.6,-2.6,69.9,15.1,14,TRUE,18.3,27.1,15.7,FALSE,17.3,8.7,7.9,TRUE,21.9,28.6,12.7,TRUE,1184,1024,1390,282.9,29.1,29.8,0.7,FALSE,FALSE
80,15:30:44,11.9,7.5,8,3.9,-0.5,62.5,17.5,9.9,TRUE,17.4,22.9,12.2,TRUE,14.5,10.5,6.3,TRUE,21,26.9,10.2,FALSE,1184,1024,1390,259.2,35.5,24.2,1,TRUE,FALSE
47,15:30:45,11.4,6.9,9.8,1.6,-2.9,50.9,16.4,13.5,TRUE,21.8,28.8,13.4,TRUE,12.7,8.5,9.5,TRUE,20.9,30.1,13.9,FALSE,1184,1024,1390,268.5,31.8,32.8,1,FALSE,FALSE
56,15:30:46,12.3,9.2,6.9,5.4,2.3,56.1,14,16.1,TRUE,20.8,26.8,11.4,TRUE,15.7,7.7,9.9,FALSE,19.9,23.8,9.9,TRUE,1184,1024,1390,260.5,30.9,32.9,0.7,FALSE,FALSE
34,15:30:47,14.2,6.7,9.8,4.4,-3.1,56.8,17.2,14.2,TRUE,12.8,30.1,12.4,FALSE,14.8,8.5,9.4,TRUE,22.5,26.9,12.9,TRUE,1184,1024,1390,269.2,32.4,33.4,0.7,FALSE,FALSE
18,15:30:48,13.6,6.3,6.7,6.9,-0.4,53.1,15.4,12,TRUE,21.2,25.5,11.6,TRUE,15,9.3,8.5,TRUE,23.2,22.9,15.1,FALSE,1184,1024,1390,259.4,31,27.2,1,FALSE,FALSE
15,15:30:49,13.9,8.3,9,4.9,-0.7,59.6,13.5,14.4,TRUE,24,28,8.3,TRUE,12.4,8.4,9,TRUE,19.7,26.2,10.2,FALSE,1184,1024,1390,264.9,30.2,32.4,1,FALSE,FALSE
39,15:30:50,11.2,6.6,7,4.2,-0.4,60.5,13.8,14.2,TRUE,22.2,22.2,17.3,FALSE,16,9.2,8.1,TRUE,29.7,27.7,15.3,TRUE,1184,1024,1390,281,29.6,29.3,0.7,FALSE,FALSE
47,15:30:51,11.6,8,9.8,1.8,-1.8,60.1,11.9,12.5,FALSE,17.1,30.4,13.4,FALSE,13.9,9.6,10,TRUE,21.3,27.8,14.2,TRUE,1184,1024,1390,271.6,29.5,32.3,0.3,TRUE,TRUE
20,15:30:52,13.4,6.7,8.4,5,-1.7,48.7,15.9,14.4,TRUE,20.8,26.7,14.2,TRUE,16.7,9.5,8.9,TRUE,22.8,24.2,10.8,FALSE,1184,1024,1390,262.1,32.1,31.7,1,FALSE,FALSE
39,15:30:53,15.1,8,8.7,6.4,-0.7,54.8,14.4,14.4,TRUE,19.1,25.1,13.9,TRUE,14,9.1,8.5,TRUE,20.6,31.8,11.2,FALSE,1184,1024,1390,268.7,31.5,31.6,1,FALSE,FALSE
22,15:30:54,12.6,7.6,9.4,3.2,-1.8,62.3,14,16.8,TRUE,19.6,28.1,9,TRUE,15.5,9.9,9.1,FALSE,28.9,26.9,12.1,TRUE,1184,1024,1390,281.8,31.5,35.3,0.7,FALSE,FALSE
58,15:30:55,15.9,9.6,7.5,8.4,2.1,56.8,15.5,17.1,TRUE,17.7,24.2,9.3,TRUE,13.2,8,8.2,FALSE,19,31,12.6,TRUE,1184,1024,1390,265.6,33.1,32.8,0.7,FALSE,FALSE
45,15:30:56,12.9,8.7,6.9,6,1.8,54.3,13.8,12.9,TRUE,20.1,25.5,13,TRUE,15.6,11.5,8.4,TRUE,20.1,31.6,15.8,FALSE,1184,1024,1390,271.1,34,28.2,1,FALSE,FALSE
68,15:30:57,11.9,7.2,8.5,3.4,-1.3,53.9,14.2,14.6,FALSE,17.3,26.9,12.4,TRUE,12,10.5,10.8,TRUE,23,30,17,TRUE,1184,1024,1390,270.2,31.9,33.9,0.7,TRUE,TRUE
56,15:30:58,12.6,7.2,6.6,6,0.6,62.9,20.1,12.9,TRUE,16.8,24.9,15.6,FALSE,14,9.2,9,TRUE,20.5,31.1,14.4,TRUE,1184,1024,1390,277.8,36.5,28.5,0.7,FALSE,FALSE
30,15:30:59,16.7,8.6,7.6,9.1,1,63.9,16.3,13.7,FALSE,20.8,28.3,13.6,TRUE,16,10.1,10.2,TRUE,22.4,31.6,11.4,TRUE,1184,1024,1390,291.2,35,31.5,0.7,FALSE,FALSE
57,15:31:00,13.7,7.6,8,5.7,-0.4,67.8,14.4,14.4,TRUE,22.8,25.6,12.1,TRUE,12.3,9.7,9.6,TRUE,22.7,32.7,12.8,FALSE,1184,1024,1390,286.2,31.7,32,1,FALSE,FALSE
55,15:31:01,13.6,8.6,8.2,5.4,0.4,63,12,12.9,TRUE,17.7,25.6,14.1,TRUE,12.9,9.1,8.3,TRUE,23.1,32.7,12.9,FALSE,1184,1024,1390,274.7,29.7,29.4,1,FALSE,FALSE
36,15:31:02,11.9,9.9,6.6,5.3,3.3,54.2,12.4,15.7,TRUE,12.4,26.3,11,TRUE,13,9.7,9.2,TRUE,24,27.7,16.7,FALSE,1184,1024,1390,260.7,32,31.5,1,FALSE,FALSE
44,15:31:03,10.9,6.5,7.3,3.6,-0.8,56.6,17.2,14.7,FALSE,18.9,25.7,11.5,TRUE,15.7,7.7,10.4,TRUE,23.4,29.7,13.9,TRUE,1184,1024,1390,270.1,31.4,32.4,0.7,FALSE,FALSE
19,15:31:04,14.3,9.3,8.2,6.1,1.1,49.8,15.3,12.6,TRUE,21.1,24.7,14.9,TRUE,13.6,10.8,9,TRUE,24.5,26,12.1,FALSE,1184,1024,1390,266.2,35.4,29.8,1,FALSE,FALSE
31,15:31:05,9.2,7.5,5.6,3.6,1.9,57,12.7,17,TRUE,14.2,27.3,13.6,TRUE,15.9,8,9,FALSE,24.6,27.3,13.1,TRUE,1184,1024,1390,262,28.2,31.6,0.7,FALSE,FALSE
78,15:31:06,13.4,6,7.8,5.6,-1.8,59.9,17.8,15.8,TRUE,17,22,11.4,TRUE,18.6,9.6,8.4,TRUE,22.2,26.1,14.4,FALSE,1184,1024,1390,270.4,33.4,32,1,TRUE,FALSE
41,15:31:07,13.8,8.9,8.6,5.2,0.3,65.7,15.4,12.7,TRUE,22.1,23.4,14.6,TRUE,15.4,11.1,8.3,TRUE,20.5,27,13.8,FALSE,1184,1024,1390,281.3,35.4,29.6,1,FALSE,FALSE
30,15:31:08,14,7.4,8,6,-0.6,51.9,14.5,10.7,TRUE,25.4,30.2,12.9,FALSE,15.1,9.1,9.6,TRUE,23.2,29.9,12,TRUE,1184,1024,1390,273.9,31,28.3,0.7,FALSE,FALSE
69,15:31:09,16.1,6.8,6.5,9.6,0.3,56.1,16.8,15.3,TRUE,19.7,28.1,15.4,FALSE,14.1,10.1,9,TRUE,17.3,32.4,15.8,TRUE,1184,1024,1390,279.5,33.7,30.8,0.7,TRUE,TRUE
58,15:31:10,11.7,8.4,8.5,3.2,-0.1,55.1,16.5,8.3,TRUE,19.8,23.3,10.7,TRUE,14.9,10.2,9.5,TRUE,25.4,22.8,12.3,FALSE,1184,1024,1390,257.4,35.1,26.3,1,FALSE,FALSE
44,15:31:11,10.8,6.7,9.2,1.6,-2.5,62,14,10.9,TRUE,17.6,26,11.9,TRUE,16,9.1,7.7,TRUE,20.7,32.5,14.7,FALSE,1184,1024,1390,269.8,29.8,27.8,1,FALSE,FALSE
38,15:31:12,12.3,7.7,7.7,4.6,0,56,14.9,13.9,TRUE,25.2,26.1,12.9,TRUE,17.1,9.2,8.7,TRUE,24.2,28.2,14.5,FALSE,1184,1024,1390,278.6,31.8,30.3,1,FALSE,FALSE
51,15:31:13,12.8,8.1,6,6.8,2.1,62.5,12.9,15.2,TRUE,21.7,26,14,TRUE,9.2,11.1,8.9,TRUE,18.8,26.1,16.8,FALSE,1184,1024,1390,270.1,32.1,30.1,1,FALSE,FALSE
17,15:31:14,12.6,8.2,8.9,3.7,-0.7,62.3,17.2,16.4,TRUE,20.5,25.5,12.7,TRUE,19.8,8.9,9.2,FALSE,23.9,24.6,16.3,TRUE,1184,1024,1390,287,34.3,34.5,0.7,FALSE,FALSE
39,15:31:15,10.7,8.3,7.2,3.5,1.1,55.8,16.9,16.4,TRUE,18.8,26,12.6,TRUE,15.8,10.6,9.5,FALSE,18.3,29.8,14.4,TRUE,1184,1024,1390,271.1,35.8,33.1,0.7,FALSE,FALSE
14,15:31:16,12.4,9.4,7.8,4.6,1.6,52.8,13,9.7,FALSE,19.4,24.5,12,TRUE,12.8,7.6,10.6,TRUE,20.1,24,16.3,TRUE,1184,1024,1390,252.4,30,28.1,0.7,FALSE,FALSE
50,15:31:17,15,7.3,10.3,4.7,-3,62.1,19.9,16.8,TRUE,21.9,24,7,TRUE,19.6,7.6,7.4,FALSE,23.7,29.8,14.7,TRUE,1184,1024,1390,287.1,34.8,34.5,0.7,FALSE,FALSE
61,15:31:18,14.5,8.3,8.1,6.4,0.2,51.5,15.4,16.8,TRUE,18.8,22.7,11.4,TRUE,11.6,8.9,8,FALSE,24.8,23.3,11,TRUE,1184,1024,1390,255.1,32.6,32.9,0.7,TRUE,TRUE
44,15:31:19,14.9,7,7.8,7.1,-0.8,49,15.9,14,TRUE,20.7,22.1,12.2,TRUE,12.3,8.4,9.3,TRUE,23.7,28.7,15.7,FALSE,1184,1024,1390,261.7,31.3,31.1,1,FALSE,FALSE
18,15:31:20,13.3,7.6,8.1,5.2,-0.5,65.7,12.5,12.6,TRUE,20.6,25.1,12.1,TRUE,13.6,8.3,7.6,TRUE,19.8,30.7,12.4,FALSE,1184,1024,1390,270,28.4,28.3,1,FALSE,FALSE
37,15:31:21,15.5,7.3,8.3,7.2,-1,56.1,14.7,14.1,TRUE,16.5,31.4,9.6,FALSE,15.6,9.6,9.4,TRUE,21.6,30.9,17.4,TRUE,1184,1024,1390,278,31.6,31.8,0.7,FALSE,FALSE
50,15:31:22,11.9,6.6,7.9,4,-1.3,65.1,14.2,13.6,TRUE,26.7,22.6,15.3,FALSE,18.4,8.4,9.6,TRUE,20.3,25,11.7,TRUE,1184,1024,1390,277.3,29.2,31.1,0.7,FALSE,FALSE
37,15:31:23,10.6,8,7.2,3.4,0.8,63.1,12.6,17.3,TRUE,19.7,20.3,12.7,TRUE,16.7,7,9.4,FALSE,23.3,25.9,12.9,TRUE,1184,1024,1390,266.7,27.6,33.9,0.7,FALSE,FALSE
73,15:31:24,14.1,8.1,8.5,5.6,-0.4,63.2,17.2,15.2,TRUE,16.2,25.5,9.2,TRUE,14.8,8.1,8.3,TRUE,18.7,27.1,15.4,FALSE,1184,1024,1390,269.6,33.4,32,1,TRUE,FALSE
60,15:31:25,13.3,10.3,8.4,4.9,1.9,53.1,12.3,10.3,FALSE,19.6,24.1,12.3,TRUE,14.7,9.7,10,TRUE,23.5,24.7,8.7,TRUE,1184,1024,1390,255,32.3,28.7,0.7,FALSE,FALSE
68,15:31:26,13.8,10.5,8,5.8,2.5,58.6,13.7,16,TRUE,21.5,25.2,11.8,TRUE,16.8,8.7,9.3,FALSE,21.5,25.7,14.1,TRUE,1184,1024,1390,275.2,32.9,33.3,0.7,TRUE,TRUE
28,15:31:27,11.2,8,8,3.2,0,57.1,12.4,11.9,TRUE,22.3,26.4,11.9,TRUE,16.6,10.4,9.6,TRUE,21.1,26.2,12.6,FALSE,1184,1024,1390,265.7,30.8,29.5,1,FALSE,FALSE
43,15:31:28,13.1,8.5,7.9,5.2,0.6,60,18.1,16.4,TRUE,20.5,25.2,8,TRUE,13.1,8.9,7.8,FALSE,21.4,32.5,13.3,TRUE,1184,1024,1390,274.7,35.5,32.1,0.7,FALSE,FALSE
27,15:31:29,12.3,7.4,7.7,4.6,-0.3,61.7,12,8.9,FALSE,17.8,25.5,12.3,TRUE,15,9.4,10.2,TRUE,24.8,23.9,12.6,TRUE,1184,1024,1390,261.5,28.8,26.8,0.7,FALSE,FALSE
41,15:31:30,10.7,6.2,8.5,2.2,-2.3,57.9,15,15.2,TRUE,21.3,23.3,6.8,TRUE,13.9,9.4,7.5,TRUE,22.4,25.1,15.4,FALSE,1184,1024,1390,258.6,30.6,31.2,1,FALSE,FALSE
78,15:31:31,12.7,8,7.1,5.6,0.9,64.4,14.6,12.7,TRUE,17.7,22.3,11.7,TRUE,18.4,7.6,7.4,TRUE,25.1,26.2,16.7,FALSE,1184,1024,1390,272.6,30.2,27.2,1,TRUE,FALSE
43,15:31:32,14.4,7.5,10.2,4.2,-2.7,53.2,15.9,12.6,TRUE,17.2,27.2,12.6,TRUE,17.6,10.6,9,TRUE,28,28.4,12.3,FALSE,1184,1024,1390,276.7,34,31.8,1,FALSE,FALSE
64,15:31:33,13.4,6.7,7,6.4,-0.3,62,13.5,11.2,TRUE,22.6,23,9.9,TRUE,16.1,10.2,9.7,TRUE,26.5,27,12.5,FALSE,1184,1024,1390,271.3,30.4,27.9,1,TRUE,FALSE
61,15:31:34,15.7,8.6,8.5,7.2,0.1,59.5,16.1,16.1,FALSE,25.5,23.1,13.9,TRUE,15.1,9.3,10.5,FALSE,20.9,25.5,10.9,TRUE,1184,1024,1390,279.2,34,35.1,0.3,TRUE,TRUE
56,15:31:35,9.1,10.1,6.9,2.2,3.2,56.2,15.6,13.5,TRUE,18.3,24.2,12.6,TRUE,16.6,9.9,8.4,TRUE,26.8,29.5,14.5,FALSE,1184,1024,1390,272.2,35.6,28.8,1,FALSE,FALSE
38,15:31:36,14.3,9.2,8.2,6.1,1,57.1,15.6,17.4,FALSE,15.1,26.2,10.7,TRUE,13.9,9.6,10.2,FALSE,22.7,35.8,14.1,TRUE,1184,1024,1390,280.1,34.4,35.8,0.3,TRUE,TRUE
27,15:31:37,9.5,8.8,8.4,1.1,0.4,54.1,16.2,17.3,TRUE,22.9,27,11.7,TRUE,12.6,8.8,8.1,FALSE,23.2,24.4,13.9,TRUE,1184,1024,1390,266.9,33.8,33.8,0.7,FALSE,FALSE
75,15:31:38,15.4,7.4,7.9,7.5,-0.5,54.8,16.4,13.3,TRUE,19,22.6,13.3,TRUE,14.8,9.4,8.1,TRUE,27.2,26.8,13.4,FALSE,1184,1024,1390,269.8,33.2,29.3,1,TRUE,FALSE
73,15:31:39,14.9,6.6,6.2,8.7,0.4,64.7,19,18.1,TRUE,14.4,28.8,10.9,TRUE,20.1,8.4,9.2,FALSE,25.6,31.1,14.2,TRUE,1184,1024,1390,292.2,34,33.5,0.7,TRUE,TRUE
21,15:31:40,14.6,7.4,7.2,7.4,0.2,64.4,12.7,13.6,TRUE,19,24.5,11.1,TRUE,16.4,10,9.1,TRUE,19.8,22.4,12.8,FALSE,1184,1024,1390,265,30.1,29.9,1,FALSE,FALSE
16,15:31:41,12.8,9.5,8.6,4.2,0.9,55.1,17.2,17.8,TRUE,15.9,30.6,14.4,FALSE,16.2,8.8,8,FALSE,26.6,26.5,10.8,TRUE,1184,1024,1390,278.8,35.5,34.4,0.3,TRUE,TRUE
24,15:31:42,13.3,6.2,8.3,5,-2.1,42.6,14.9,17.5,TRUE,18.6,23.6,8.8,TRUE,16,8.5,7.8,FALSE,27,26.6,11.8,TRUE,1184,1024,1390,251.5,29.6,33.6,0.7,FALSE,FALSE
29,15:31:43,13.9,7,8.3,5.6,-1.3,55.9,15.7,15.8,TRUE,21.3,28.7,11.8,TRUE,14.6,8.1,8.2,TRUE,19.6,32.5,12.5,FALSE,1184,1024,1390,273.9,30.8,32.3,1,FALSE,FALSE
30,15:31:44,13,7.3,5.6,7.4,1.7,54.4,16.6,11.5,TRUE,21.7,27.2,11.4,TRUE,15.1,9.5,7.4,TRUE,22.9,23.9,13.9,FALSE,1184,1024,1390,261.4,33.4,24.5,1,FALSE,FALSE
64,15:31:45,12.9,6.4,9.2,3.7,-2.8,59.1,16.4,14.4,TRUE,16.8,22.6,12.4,TRUE,17.3,8,9.1,TRUE,20.9,25.5,13.2,FALSE,1184,1024,1390,264.2,30.8,32.7,1,TRUE,FALSE
